Date,Direction,RangeHigh,RangeLow,RangeWidth,H1_ATR,EntryTime,EntryPrice,SL,SL_Distance,ExitTime,ExitPrice,ExitReason,PnL_price,PnL_pips,HoldBars_M15,MFE,MAE,Breakeven,Spread,RejectStage
2025-09-01,,3484.57,3436.78,47.79,nan,,,,,,,,,,,,,,,NO_ATR
2025-09-02,LONG,3508.63,3474.11,34.52,9.84,2025-09-02 17:30:00,3510.27,3471.75,38.52,2025-09-02 23:00:00,3535.48,SessionEnd,+25.21,+2521,22,29.73,2.33,Y,18,
2025-09-03,LONG,3546.83,3525.90,20.93,10.54,2025-09-03 14:30:00,3548.71,3524.60,24.11,2025-09-03 16:30:00,3552.60,SL_Hit,+3.89,+389,8,12.64,7.26,Y,19,
2025-09-04,,3563.96,3526.20,37.76,11.94,,,,,,,,,,,,,,,NO_BREAKOUT
2025-09-05,LONG,3556.53,3540.07,16.46,9.84,2025-09-05 08:45:00,3557.76,3539.05,18.71,2025-09-05 10:30:00,3547.44,SL_Hit,-10.32,-1032,7,0.28,10.54,,21,
2025-09-08,LONG,3597.03,3577.50,19.53,10.42,2025-09-08 09:30:00,3597.64,3576.18,21.46,2025-09-08 13:45:00,3613.92,SL_Hit,+16.28,+1628,17,24.86,2.54,Y,19,
2025-09-09,LONG,3654.51,3628.11,26.40,9.09,2025-09-09 07:30:00,3655.03,3626.82,28.21,2025-09-09 09:00:00,3650.93,SL_Hit,-4.10,-410,6,4.25,16.96,,17,
2025-09-10,LONG,3640.71,3620.25,20.46,10.55,2025-09-10 07:00:00,3641.14,3618.87,22.27,2025-09-10 09:30:00,3641.32,SL_Hit,+0.18,+18,10,6.46,1.32,Y,18,
2025-09-11,SHORT,3649.14,3634.22,14.92,8.44,2025-09-11 07:45:00,3630.60,3650.15,19.55,2025-09-11 09:00:00,3630.40,SL_Hit,+0.20,+20,5,7.83,2.93,Y,20,
2025-09-12,LONG,3650.97,3630.41,20.56,8.37,2025-09-12 07:15:00,3654.69,3629.43,25.26,2025-09-12 09:00:00,3651.48,SL_Hit,-3.21,-321,7,1.90,3.50,,17,
